,bad_bigram,V2,sentiment,genre,
2340,emma thompson,40,,,
2341,emphasis on,15,,,
2342,en chef,30,,,
2343,en de,45,,,
2344,en emma,10,,,
2345,en geschreven,10,,,
2346,en manos,10,,,
2347,en mark,10,,,
2348,en si,20,,,
2349,en wahlberg,15,,,
2350,end  thi,10,,,
2351,end and,40,,,
2352,end credits,10,,,
2353,end for,15,,,
2354,end i,105,,,
2355,end it,70,,,
2356,end of,64,,,
2357,end restaurant,15,,,
2358,end that,20,,,
2359,end the,40,,,
2360,end up,15,,,
2361,end was,19,,,
2362,end with,10,,,
2363,end you,15,,,
2364,ended up,29,,,
2365,ending  ,45,,,
2366,ending and,15,,,
2367,ending before,10,,,
2368,ending is,30,,,
2369,ending it,15,,,
2370,ending was,40,,,
2371,ending with,19,,,
2372,ends and,14,,,
2373,ends in,9,,,
2374,ends up,40,,,
2375,ends with,10,,,
2376,england to,10,,,
2377,english and,10,,,
2378,english country,10,,,
2379,enjoy an,10,positive,,
2380,enjoy it,20,positive,,
2381,enjoy the,10,positive,,
2382,enjoy this,32,positive,,
2383,enjoy watching,9,positive,,
2384,enjoyable and,9,positive,,
2385,enjoyable movie,14,positive,,
2386,enjoyed by,10,positive,,
2387,enjoyed it,24,positive,,
2388,enjoyed my,15,positive,,
2389,enjoyed the,51,positive,,
2390,enjoyed this,55,positive,,
2391,enjoyed watching,10,positive,,
2392,enjoying it,10,between,,
2393,enjoying the,10,between,,
2394,enjoyment i,10,between,,
2395,enough  ,25,between,,
2396,enough about,10,between,,
2397,enough for,24,between,,
2398,enough guts,6,between,,
2399,enough in,9,between,,
2400,enough laughs,24,between,,
2401,enough of,15,between,,
2402,enough scary,9,,,
2403,enough that,25,between,,
2404,enough to,113,between,,
2405,ensemble cast,10,,,
2406,entering aokigahara,15,,,
2407,entertain the,10,positive,,
2408,entertained the,15,positive,,
2409,entertaining and,29,positive,,
2410,entertaining but,19,between,,
2411,entertaining enough,10,positive,,
2412,entertaining horror,9,,,
2413,entertaining i,29,,,
2414,entertaining movie,14,positive,,
2415,entire cast,10,between,,
2416,entire family,10,,,
2417,entire film,20,,,
2418,entire movie,25,,,
2419,entire time,15,between,,
2420,entry in,19,,,
2421,especially a,15,,,
2422,especially after,10,,,
2423,especially because,10,,,
2424,especially cooper,10,,,
2425,especially for,10,,,
2426,especially if,15,,,
2427,especially the,9,,,
2428,essentially a,10,,,
2429,est un,15,,,
2430,estate developer,10,,,
2431,et the,127,,,
2432,etc  als,20,,,
2433,evans lauren,10,,,
2434,even a,34,,,
2435,even begin,9,,,
2436,even bother,10,,,
2437,even do,15,,,
2438,even funny,10,between,,
2439,even have,10,,,
2440,even he,10,,,
2441,even i,65,,,
2442,even if,49,between,,
2443,even in,10,,,
2444,even more,49,,,
2445,even r,25,,,
2446,even see,10,,,
2447,even that,20,,,
2448,even the,40,,,
2449,even think,9,,,
2450,even though,87,between,,
2451,even to,10,,,
2452,even used,10,,,
2453,even waste,10,between,,
2454,even when,20,,,
2455,ever actually,10,,,
2456,ever and,24,,,
2457,ever but,25,,,
2458,ever get,14,,,
2459,ever hear,10,,,
2460,ever i,70,,,
2461,ever made,19,,,
2462,ever really,54,,,
2463,ever see,135,,,
2464,ever seen,102,,,
2465,ever since,10,,,
2466,ever to,10,,,
2467,every aspect,9,,,
2468,every level,9,,,
2469,every scene,20,between,,
2470,every sense,8,between,,
2471,every single,14,,,
2472,every time,19,,,
2473,everyone else,10,,,
2474,everyone in,35,,,
2475,everyone involved,24,,,
2476,everything about,10,,,
2477,everything else,15,,,
2478,everything in,18,,,
2479,everything one,7,,,
2480,everything that,10,,,
2481,everything together,7,,,
2482,evil i,25,,,
2483,evil spirits,10,,,
2484,exact same,10,,,
2485,exactly like,10,,,
2486,exactly the,15,,,
2487,exactly what,25,,,
2488,example i,10,,,
2489,example of,27,,,
2490,except for,15,,,
2491,except the,9,,,
2492,except when,10,,,
2493,exception of,10,,,
2494,excited about,10,positive,,
2495,excited to,16,,,
2496,excrement  dirt,8,,,
2497,excuse for,10,,,
2498,execution  ,10,,,
2499,execution is,10,between,,
2500,exotic location,10,,,
2501,expect a,24,between,,
2502,expect and,7,between,,
2503,expect anything,10,between,,
2504,expect it,10,between,,
2505,expect the,10,between,,
2506,expect to,15,between,,
2507,expected  ,15,between,,
2508,expected a,15,between,,
2509,expected but,10,negative,,
2510,expected the,10,between,,
2511,expecting a,20,between,,
2512,expecting much,9,between,,
2513,expecting to,10,between,,
2514,expense of,10,,,
2515,experience a,15,,,
2516,experience that,10,between,,
2517,explain the,9,,,
2518,exploration of,10,,,
2519,explore the,14,,,
2520,explosions and,15,,,
2521,extremely disappointed,9,negative,,
2522,extremely secluded,6,negative,,
2523,eye candy,15,,,
2524,eyes and,10,,,
2525,eyes on,15,,,
2526,f  ,180,,,
2527,f word,10,,,
2528,face of,10,,,
2529,face the,10,,,
2530,face with,10,,,
2531,fact at,10,,,
2532,fact i,20,,,
2533,fact is,10,,,
2534,fact that,69,,,
2535,failed attempt,9,negative,,
2536,failed to,25,negative,,
2537,fails to,25,negative,,
2538,fairly entertaining,9,between,,
2539,fall flat,15,negative,,
2540,fall in,15,between,,
2541,fall into,10,between,,
2542,fall short,15,negative,,
2543,falling asleep,10,,,
2544,falls a,10,,,
2545,falls short,10,negative,,
2546,familiar  ,10,negative,,
2547,familiar recipe,10,negative,,
2548,family and,20,,,
2549,family comedy,24,,,
2550,family friendly,15,,,
2551,family is,9,,,
2552,family member,10,,,
2553,family movie,14,,,
2554,fan and,15,,,
2555,fan of,44,,,
2556,fans as,10,,,
2557,fans of,29,,,
2558,fans will,15,,,
2559,fantastic movie,9,positive,,
2560,far as,25,,,
2561,far away,10,,,
2562,far better,20,between,,
2563,far from,15,,,
2564,far less,10,between,,
2565,far more,19,between,,
2566,far too,20,between,,
2567,farrell is,10,,,
2568,fast and,25,,,
2569,fast food,10,,,
2570,fate it,13,,,
2571,father dusty,18,,,
2572,father to,20,,,
2573,favreaus chef,14,,,
2574,fear and,15,,,
2575,feature film,25,,,
2576,featured here,10,,,
2577,features a,10,,,
2578,feel about,10,,,
2579,feel for,20,,,
2580,feel forced,10,,,
2581,feel good,20,positive,,
2582,feel hungry,10,,,
2583,feel inferior,10,,,
2584,feel like,60,between,,
2585,feel that,9,,,
2586,feel the,15,,,
2587,feel to,8,,,
2588,feeling a,15,,,
2589,feeling like,14,between,,
2590,feeling that,10,between,,
2591,feeling the,15,,,
2592,feels in,10,between,,
2593,feels like,60,between,,
2594,feels that,10,,,
2595,feels the,10,,,
2596,feels to,10,,,
2597,feet and,10,,,
2598,fell asleep,9,negative,,
2599,felt a,19,,,
2600,felt de,9,,,
2601,felt i,10,,,
2602,felt like,15,between,,
2603,felt out,10,negative,,
2604,felt so,9,,,
2605,ferrel and,25,,,
2606,ferrell and,193,,,
2607,ferrell as,10,,,
2608,ferrell being,9,,,
2609,ferrell but,19,,,
2610,ferrell comedy,10,,,
2611,ferrell do,10,,,
2612,ferrell en,15,,,
2613,ferrell fan,10,,,
2614,ferrell has,12,,,
2615,ferrell is,37,,,
2616,ferrell makes,9,,,
2617,ferrell most,10,,,
2618,ferrell movie,28,,,
2619,ferrell or,9,,,
2620,ferrell plays,20,,,
2621,ferrell s,15,,,
2622,ferrell though,10,,,
2623,ferrell through,12,,,
2624,ferrell ve,10,,,
2625,ferrell was,10,,,
2626,ferrell y,15,,,
2627,ferrells character,30,,,
2628,few and,10,,,
2629,few belly,10,,,
2630,few good,29,between,,
2631,few laughs,78,between,,
2632,few minutes,10,,,
2633,few moments,9,,,
2634,few months,10,,,
2635,few more,10,,,
2636,few of,35,,,
2637,few scenes,10,between,,
2638,few short,10,,,
2639,few times,20,,,
2640,fighting for,14,,,
2641,figure out,10,between,,
2642,filled with,52,between,,
2643,film  ,120,,,
2644,film  an,10,,,
2645,film  d,10,,,
2646,film  i,17,,,
2647,film  m,10,,,
2648,film about,47,,,
2649,film all,9,,,
2650,film an,75,,,
2651,film are,10,,,
2652,film as,14,,,
2653,film bradley,10,,,
2654,film but,54,,,
2655,film career,6,,,
2656,film could,10,between,,
2657,film de,20,,,
2658,film delivers,10,,,
2659,film did,10,between,,
2660,film directed,9,,,
2661,film director,10,between,,
2662,film does,43,between,,
2663,film doesnt,15,negative,,
2664,film down,10,negative,,
2665,film een,12,,,
2666,film ended,10,,,
2667,film even,14,,,
2668,film ever,14,,,
2669,film far,10,,,
2670,film from,14,,,
2671,film geregisseerd,8,,,
2672,film got,14,between,,
2673,film had,15,,,
2674,film has,54,,,
2675,film he,18,,,
2676,film heeft,8,,,
2677,film i,371,,,
2678,film if,15,,,
2679,film im,10,,,
2680,film in,55,,,
2681,film is,185,,,
2682,film its,30,,,
2683,film ive,14,,,
2684,film lauren,10,,,
2685,film like,20,,,
2686,film made,9,,,
2687,film no,35,,,
2688,film not,10,,,
2689,film now,10,,,
2690,film of,24,,,
2691,film on,10,,,
2692,film released,10,,,
2693,film review,11,,,
2694,film revolves,10,between,,
2695,film school,10,,,
2696,film so,20,,,
2697,film stars,10,,,
2698,film take,15,,,
2699,film takes,9,,,
2700,film thanks,10,,,
2701,film that,104,,,
2702,film the,49,,,
2703,film then,15,,,
2704,film this,24,,,
2705,film though,10,,,
2706,film to,30,,,
2707,film up,10,,,
2708,film want,15,,,
2709,film was,34,,,
2710,film we,30,,,
2711,film went,15,,,
2712,film werd,10,,,
2713,film where,15,,,
2714,film which,9,,,
2715,film will,10,,,
2716,film with,38,,,
2717,film without,10,between,,
2718,film would,15,,,
2719,film you,25,,,
2720,film youre,10,,,
2721,filmed a,10,,,
2722,filmmakers keep,10,,,
2723,films and,10,,,
2724,films biggest,10,,,
2725,films but,10,,,
2726,films can,14,,,
2727,films have,15,,,
2728,films i,30,,,
2729,films in,10,,,
2730,films its,10,,,
2731,films like,10,,,
2732,films of,33,,,
2733,films on,15,,,
2734,films so,10,,,
2735,films that,10,,,
2736,films the,10,,,
2737,films you,10,,,
2738,final shot,10,,,
2739,finally the,10,,,
2740,find a,34,,,
2741,find her,40,,,
2742,find in,10,,,
2743,find out,13,,,
2744,find some,10,,,
2745,find that,10,,,
2746,find the,44,,,
2747,find them,10,,,
2748,find this,18,,,
2749,find will,9,,,
2750,finds a,20,,,
2751,fine  ,10,,,
2752,fine acting,10,between,,
2753,fine as,10,,,
2754,fine dining,19,,,
2755,fine i,15,,,
2756,fine in,10,,,
2757,fine the,25,,,
2758,fired whoever,9,,,
2759,first  minute,20,,,
2760,first and,9,,,
2761,first film,52,,,
2762,first five,10,,,
2763,first go,10,,,
2764,first greta,9,,,
2765,first half,14,,,
2766,first horror,10,,,
2767,first hour,9,,,
2768,first i,35,,,
2769,first in,10,,,
2770,first movie,28,,,
2771,first of,9,,,
2772,first one,54,,,
2773,first place,30,,,
2774,first review,10,,,
2775,first ride,10,,,
2776,first scene,10,,,
2777,first time,30,,,
2778,first two,10,,,
2779,first week,10,,,
2780,fit in,10,,,
2781,fit the,10,,,
2782,five minutes,15,,,
2783,flat and,10,negative,,
2784,flawless  ,18,positive,,
2785,flawless  ,18,positive,,
2786,flaws i,15,negative,,
2787,flaws in,10,negative,,
2788,floundering star,7,negative,,
2789,focus on,15,,,
2790,focused on,10,,,
2791,food and,29,,,
2792,food at,10,,,
2793,food but,15,,,
2794,food critics,10,,,
2795,food fight,10,,,
2796,food for,15,,,
2797,food i,75,,,
2798,food in,29,,,
2799,food is,20,,,
2800,food it,10,,,
2801,food look,29,,,
2802,food looked,10,,,
2803,food looks,13,,,
2804,food love,10,,,
2805,food network,10,,,
2806,food porn,37,,,
2807,food that,10,,,
2808,food the,15,,,
2809,food was,10,,,
2810,foodie flick,9,,,
2811,foodie movie,9,,,
2812,fool of,8,,,
2813,foot journey,25,,,
2814,for a,609,,,
2815,for about,10,,,
2816,for adults,10,,,
2817,for all,44,,,
2818,for almost,10,,,
2819,for an,89,,,
2820,for any,30,,,
2821,for anyone,15,,,
2822,for as,10,,,
2823,for be,44,,,
2824,for being,15,,,
2825,for better,12,,,
2826,for both,25,,,
2827,for bradley,10,,,
2828,for cheap,25,,,
2829,for comedy,10,,,
2830,for cooper,10,,,
2831,for de,30,,,
2832,for dvd,14,,,
2833,for each,10,,,
2834,for either,10,,,
2835,for even,10,,,
2836,for every,40,,,
2837,for everyone,29,,,
2838,for example,15,,,
2839,for family,9,,,
2840,for fans,10,,,
2841,for ferrell,20,,,
2842,for ferrells,10,,,
2843,for food,20,,,
2844,for good,10,between,,
2845,for hart,15,,,
2846,for her,50,,,
2847,for him,35,,,
2848,for his,58,,,
2849,for horror,20,,,
2850,for in,15,,,
2851,for it,89,,,
2852,for its,10,,,
2853,for kids,45,,,
2854,for laughs,15,between,,
2855,for lauren,10,,,
2856,for me,123,,,
2857,for more,15,,,
2858,for most,25,,,
2859,for my,25,,,
2860,for natalie,15,,,
2861,for new,10,,,
2862,for no,40,,,
2863,for not,25,,,
2864,for nothing,15,between,,
2865,for one,15,,,
2866,for other,15,,,
2867,for our,10,,,
2868,for parents,22,,,
2869,for people,20,,,
2870,for punch,10,,,
2871,for real,10,,,
2872,for redemption,10,between,,
2873,for robert,9,,,
2874,for sequel,10,,,
2875,for so,95,,,
2876,for some,79,,,
2877,for something,15,,,
2878,for spring,10,,,
2879,for such,15,,,
2880,for sure,15,,,
2881,for taking,10,,,
2882,for that,35,,,
2883,for the,500,,,
2884,for their,20,,,
2885,for them,20,,,
2886,for this,107,,,
2887,for those,38,,,
2888,for too,10,,,
2889,for various,6,,,
2890,for what,19,,,
2891,for when,10,,,
2892,for will,10,,,
2893,for worse,9,between,,
2894,for worst,10,,,
2895,for years,15,,,
2896,for you,55,,,
2897,for yourself,19,,,
2898,foray into,15,,,
2899,force a,10,,,
2900,force the,10,,,
2901,forced and,15,,,
2902,forced i,10,,,
2903,forced to,10,,,
2904,ford flex,10,,,
2905,forest a,98,,,
2906,forest and,20,,,
2907,forest as,15,,,
2908,forest at,18,,,
2909,forest become,10,,,
2910,forest feels,10,,,
2911,forest for,10,,,
2912,forest has,15,,,
2913,forest i,205,,,
2914,forest in,30,,,
2915,forest is,138,,,
2916,forest its,20,,,
2917,forest itself,10,,,
2918,forest michi,10,,,
2919,forest most,10,,,
2920,forest no,15,,,
2921,forest not,10,,,
2922,forest off,15,,,
2923,forest offers,9,,,
2924,forest so,10,,,
2925,forest that,19,,,
2926,forest the,25,,,
2927,forest to,15,,,
2928,forest was,20,,,
2929,forest which,10,,,
2930,forest with,20,,,
2931,forgettable and,10,,,
2932,forgive the,10,,,
2933,form of,20,,,
2934,forms the,10,,,
2935,formula and,10,between,,
2936,formula doesnt,8,negative,,
2937,formula that,15,between,,
2938,formulaic and,15,negative,,
2939,fortunately he,10,,,
2940,fortunately i,24,,,
2941,fortunately it,15,,,
2942,fortunately that,10,,,
2943,fortunately the,20,,,
2944,forward to,29,,,
2945,found it,29,,,
2946,found itself,10,,,
2947,found myself,9,between,,
2948,found the,20,,,
2949,found this,14,,,
2950,franchise in,10,,,
2951,fresh and,8,,,
2952,friend and,10,,,
2953,friend just,10,,,
2954,friendly comedy,10,positive,,
2955,friends and,9,,,
2956,friends i,15,,,
2957,from a,159,,,
2958,from all,10,,,
2959,from an,25,,,
2960,from atlanta,10,,,
2961,from beginning,19,,,
2962,from behind,10,,,
2963,from being,16,,,
2964,from coopers,10,,,
2965,from de,15,,,
2966,from ferrell,10,,,
2967,from hart,9,,,
2968,from her,25,,,
2969,from his,35,,,
2970,from it,30,,,
2971,from its,19,,,
2972,from jason,10,,,
2973,from other,22,,,
2974,from s,55,,,
2975,from star,10,,,
2976,from the,284,,,
2977,from their,10,,,
2978,from there,25,,,
2979,from this,34,,,
2980,from time,10,,,
2981,from watching,15,,,
2982,front of,10,,,
2983,frustrating and,10,negative,,
2984,frustrating because,10,negative,,
2985,fschaal  ,10,,,
2986,fuck you,14,,,
2987,full content,23,,,
2988,full of,71,,,
2989,fun and,19,,,
2990,fun as,9,,,
2991,fun movie,9,positive,,
2992,fun the,10,,,
2993,fun throwback,10,,,
2994,fun to,20,,,
2995,funnier  ,10,between,,
2996,funnier than,9,between,,
2997,funniest movie,13,between,,
2998,funniest part,15,between,,
2999,funniest parts,10,between,,
3000,funny  no,10,,,
3001,funny a,224,,,
3002,funny and,126,between,,
3003,funny as,28,between,,
3004,funny at,24,between,,
3005,funny bit,10,,,
3006,funny but,38,,,
3007,funny comedy,8,between,,
3008,funny dirty,9,negative,,
3009,funny emotional,15,between,,
3010,funny enough,34,between,,
3011,funny even,10,between,,
3012,funny film,10,between,,
3013,funny guy,15,between,,
3014,funny i,118,,,
3015,funny ideas,10,between,,
3016,funny if,10,,,
3017,funny in,24,,,
3018,funny it,25,,,
3019,funny its,15,,,
3020,funny lines,10,,,
3021,funny moments,25,positive,,
3022,funny movie,74,between,,
3023,funny or,15,between,,
3024,funny outrageous,10,negative,,
3025,funny parts,49,,,
3026,funny scenes,29,,,
3027,funny the,35,,,
3028,funny they,9,,,
3029,funny to,24,,,
3030,funny too,9,,,
3031,funny worth,9,,,
3032,further into,15,,,
3033,gag in,9,,,
3034,gags and,15,,,
3035,gags that,10,,,
3036,gain the,25,,,
3037,game and,10,,,
3038,game of,25,,,
3039,game with,10,,,
3040,games so,10,,,
3041,gave a,15,,,
3042,gave it,37,,,
3043,gave me,10,,,
3044,gave this,15,,,
3045,gebaseerd op,15,,,
3046,general mediocrity,6,negative,,
3047,generic and,15,negative,,
3048,genius the,10,between,,
3049,genre a,15,,,
3050,genre for,10,,,
3051,genre i,25,,,
3052,genre the,10,,,
3053,genuinely funny,25,positive,,
3054,genuinely scary,10,,,
3055,geregisseerd door,8,,,
3056,geschreven door,10,,,
3057,get a,140,,,
3058,get along,10,,,
3059,get an,15,,,
3060,get back,25,,,
3061,get hard,14,,,
3062,get her,10,,,
3063,get him,19,,,
3064,get his,37,,,
3065,get it,14,,,
3066,get laid,10,,,
3067,get me,15,,,
3068,get more,10,between,,
3069,get on,10,,,
3070,get that,30,,,
3071,get the,88,,,
3072,get there,10,between,,
3073,get to,47,,,
3074,get what,10,between,,
3075,gets a,24,,,
3076,gets hired,9,,,
3077,gets his,10,,,
3078,gets lost,15,negative,,
3079,gets old,15,,,
3080,gets some,10,between,,
3081,gets the,19,,,
3082,getting a,15,,,
3083,getting i,15,,,
3084,getting in,10,,,
3085,getting repeatedly,10,,,
3086,getting the,10,,,
3087,ghost story,19,,,
3088,ghost storytype,10,,,
3089,girl in,10,,,
3090,girl running,7,,,
3091,give it,48,,,
3092,give me,10,,,
3093,give the,34,,,
3094,give this,10,,,
3095,give up,15,,,
3096,give you,35,,,
3097,given a,20,,,
3098,given little,10,,,
3099,given nearly,6,,,
3100,given that,14,,,
3101,given the,20,,,
3102,given to,10,,,
3103,given up,10,,,
3104,gives a,15,,,
3105,gives us,18,,,
3106,giving greta,9,,,
3107,giving this,10,,,
3108,glad i,23,,,
3109,global warming,9,,,
3110,go a,79,,,
3111,go about,9,,,
3112,go along,10,,,
3113,go and,35,,,
3114,go back,9,,,
3115,go for,14,,,
3116,go in,45,,,
3117,go into,19,,,
3118,go off,15,,,
3119,go on,10,,,
3120,go see,105,,,
3121,go that,10,,,
3122,go this,10,,,
3123,go through,10,,,
3124,go to,72,,,
3125,go watch,10,,,
3126,go with,20,,,
3127,go wrong,10,,,
3128,goal of,10,,,
3129,god help,8,,,
3130,godfather part,9,,,
3131,goes even,10,,,
3132,goes for,14,,,
3133,goes i,30,,,
3134,goes into,24,between,,
3135,goes missing,10,,,
3136,goes no,10,,,
3137,goes on,20,,,
3138,goes to,20,,,
3139,going for,14,,,
3140,going on,40,,,
3141,going out,10,,,
3142,going to,163,,,
3143,gone in,10,,,
3144,gone missing,10,,,
3145,gone so,10,,,
3146,good acting,20,between,,
3147,good actors,9,between,,
3148,good actress,10,between,,
3149,good although,10,between,,
3150,good amount,10,between,,
3151,good and,40,positive,,
3152,good as,64,between,,
3153,good at,15,between,,
3154,good but,34,between,,
3155,good cast,9,positive,,
3156,good character,10,positive,,
3157,good chemistry,10,positive,,
3158,good chuckles,9,between,,
3159,good comedy,13,positive,,
3160,good concept,9,positive,,
3161,good either,10,between,,
3162,good end,15,between,,
3163,good ending,9,positive,,
3164,good enough,34,between,,
3165,good film,13,positive,,
3166,good for,28,positive,,
3167,good fun,10,positive,,
3168,good go,10,,,
3169,good guy,10,,,
3170,good i,60,,,
3171,good idea,10,between,,
3172,good in,24,between,,
3173,good job,40,between,,
3174,good laugh,34,between,,
3175,good laughs,24,between,,
3176,good looking,25,between,,
3177,good material,14,between,,
3178,good meal,10,,,
3179,good moments,25,between,,
3180,good movie,70,between,,
3181,good old,15,,,
3182,good on,20,,,
3183,good one,15,,,
3184,good parenting,10,,,
3185,good performance,10,between,,
3186,good plot,15,between,,
3187,good role,10,between,,
3188,good scares,20,,,
3189,good show,9,between,,
3190,good sign,9,between,,
3191,good some,9,between,,
3192,good story,15,between,,
3193,good the,30,,,
3194,good then,9,,,
3195,good thing,30,between,,
3196,good things,10,between,,
3197,good this,15,,,
3198,good time,15,positive,,
3199,good to,46,,,
3200,good together,10,positive,,
3201,good twist,10,positive,,
3202,good way,9,,,
3203,good you,10,,,
3204,gordon ramsay,40,,,
3205,gordon ramsey,10,,,
3206,got a,40,,,
3207,got an,15,,,
3208,got burnt,10,,,
3209,got it,14,,,
3210,got me,10,,,
3211,got that,25,,,
3212,got to,34,,,
3213,gotchatype scares,6,,,
3214,gourmet food,10,,,
3215,grace of,10,,,
3216,grade because,10,,,
3217,graham a,10,,,
3218,grand theft,10,,,
3219,grandfather a,15,,,
3220,grandfather and,10,,,
3221,grandpa a,25,,,
3222,grandpa and,15,,,
3223,grandpa boasts,6,,,
3224,grandpa does,18,,,
3225,grandpa i,135,,,
3226,grandpa in,10,,,
3227,grandpa is,107,,,
3228,grandpa that,10,,,
3229,grandpa to,10,,,
3230,grandpa tries,10,,,
3231,grandpa zac,10,,,
3232,grandson i,10,,,
3233,grandson jason,10,,,
3234,great a,70,,,
3235,great actor,10,positive,,
3236,great and,24,positive,,
3237,great as,10,positive,,
3238,great but,19,between,,
3239,great cast,10,positive,,
3240,great comedic,10,positive,,
3241,great comedy,9,positive,,
3242,great deal,10,positive,,
3243,great film,13,positive,,
3244,great fun,9,positive,,
3245,great horror,12,,,
3246,great horrors,7,,,
3247,great i,49,,,
3248,great if,9,between,,
3249,great in,25,between,,
3250,great job,20,positive,,
3251,great kids,8,,,
3252,great movie,49,positive,,
3253,great performance,15,positive,,
3254,great performances,10,positive,,
3255,great plot,10,positive,,
3256,great premise,8,positive,,
3257,great the,18,,,
3258,great thing,14,,,
3259,great time,24,positive,,
3260,great twist,20,,,
3261,greene an,10,,,
3262,greene homes,10,,,
3263,greene ken,10,,,
3264,greta detailed,8,,,
3265,greta evans,10,,,
3266,greta i,30,,,
3267,greta is,20,,,
3268,greta left,8,,,
3269,greta treats,8,,,
3270,gretas turn,9,,,
3271,grossout comedy,6,negative,,
3272,groundwork for,10,,,
3273,guaranteed to,9,between,,
3274,guess i,15,,,
3275,guess the,15,,,
3276,guessed it,10,,,
3277,guessing how,10,,,
3278,gun to,10,,,
3279,guy and,10,,,
3280,guy but,20,,,
3281,guy he,10,,,
3282,guy is,10,,,
3283,guys both,10,,,
3284,guys i,15,,,
3285,guys so,10,,,
3286,guys was,10,,,
3287,guys would,10,,,
3288,had a,170,,,
3289,had been,15,,,
3290,had better,6,,,
3291,had expected,10,between,,
3292,had in,15,,,
3293,had it,20,,,
3294,had its,9,,,
3295,had me,15,between,,
3296,had more,25,,,
3297,had no,20,negative,,
3298,had of,15,,,
3299,had so,70,,,
3300,had some,63,between,,
3301,had the,46,,,
3302,had to,47,,,
3303,haden church,54,,,
3304,hadnt seen,18,,,
3305,hair on,10,,,
3306,half hour,15,,,
3307,half of,23,,,
3308,half the,10,,,
3309,half way,15,,,
3310,halfbaked underdone,9,negative,,
3311,halfway through,14,,,
3312,handful of,15,between,,
3313,hannibal buress,35,,,
3314,happen for,10,,,
3315,happened to,15,,,
3316,happening to,10,,,
3317,happens i,20,,,
3318,happens in,10,,,
3319,happens next,10,,,
3320,happens to,20,,,
3321,happens when,15,,,
3322,happy ending,20,,,
3323,happy feet,10,,,
3324,happy to,10,between,,
3325,hard and,20,,,
3326,hard for,15,,,
3327,hard i,10,,,
3328,hard to,62,,,
3329,hard work,10,,,
3330,harsh on,10,between,,
3331,hart a,77,,,
3332,hart and,59,,,
3333,hart does,10,,,
3334,hart fan,10,,,
3335,hart has,9,,,
3336,hart i,83,,,
3337,hart in,20,,,
3338,hart is,42,,,
3339,hart playing,10,,,
3340,hart seem,17,,,
3341,hart seems,12,,,
3342,hart would,10,,,
3343,hart you,10,,,
3344,has a,181,,,
3345,has all,10,,,
3346,has always,14,,,
3347,has an,15,,,
3348,has been,49,,,
3349,has done,10,between,,
3350,has enough,13,between,,
3351,has ever,10,,,
3352,has gone,20,between,,
3353,has he,9,,,
3354,has his,15,,,
3355,has in,15,,,
3356,has is,10,,,
3357,has its,45,,,
3358,has just,9,,,
3359,has made,9,,,
3360,has no,69,,,
3361,has nothing,15,negative,,
3362,has one,10,,,
3363,has so,60,,,
3364,has some,53,,,
3365,has the,73,,,
3366,has to,39,,,
3367,has too,10,,,
3368,hasnt exactly,10,negative,,
3369,hate it,14,negative,,
3370,hate this,9,negative,,
3371,hate you,10,negative,,
3372,hated this,9,negative,,
3373,hatred i,10,,,
3374,haute cuisine,15,,,
3375,have a,235,,,
3376,have already,10,,,
3377,have an,25,,,
3378,have any,10,,,
3379,have been,192,,,
3380,have children,15,,,
3381,have ever,36,,,
3382,have fallen,10,,,
3383,have fun,10,,,
3384,have given,15,,,
3385,have gone,15,,,
3386,have good,10,positive,,
3387,have great,10,positive,,
3388,have had,25,,,
3389,have it,23,,,
3390,have its,17,,,
3391,have kids,10,,,
3392,have known,9,,,
3393,have made,25,,,
3394,have more,9,,,
3395,have much,10,,,
3396,have never,24,negative,,
3397,have no,70,,,
3398,have not,39,negative,,
3399,have nothing,10,negative,,
3400,have on,20,,,
3401,have one,14,,,
3402,have proven,10,between,,
3403,have seen,46,,,
3404,have so,40,,,
3405,have some,30,between,,
3406,have taken,10,between,,
3407,have that,10,,,
3408,have the,67,,,
3409,have they,10,,,
3410,have thought,10,,,
3411,have time,10,,,
3412,have to,162,,,
3413,have written,9,,,
3414,have you,26,between,,
3415,havent seen,14,,,
3416,having a,34,,,
3417,having sex,15,,,
3418,having some,10,,,
3419,having to,25,,,
3420,hay and,15,,,
3421,hayden church,15,,,
3422,he a,866,,,
3423,he absolutely,9,between,,
3424,he also,10,,,
3425,he and,20,,,
3426,he can,63,,,
3427,he could,20,,,
3428,he did,20,,,
3429,he does,107,,,
3430,he doesnt,29,negative,,
3431,he end,467,,,
3432,he enlists,10,,,
3433,he even,20,,,
3434,he ever,10,,,
3435,he feels,10,,,
3436,he finally,10,,,
3437,he get,35,,,
3438,he gets,25,,,
3439,he gives,19,,,
3440,he goes,30,,,
3441,he had,20,,,
3442,he has,115,,,
3443,he hasnt,15,between,,
3444,he holds,10,,,
3445,he is,185,,,
3446,he just,20,,,
3447,he looks,24,,,
3448,he meet,15,,,
3449,he met,10,,,
3450,he must,10,,,
3451,he need,35,,,
3452,he needs,20,,,
3453,he only,161,,,
3454,he plays,20,,,
3455,he provides,10,between,,
3456,he really,14,,,
3457,he said,10,,,
3458,he seems,15,between,,
3459,he sees,15,,,
3460,he should,25,,,
3461,he still,10,,,
3462,he sure,10,,,
3463,he tells,10,,,
3464,he theater,73,,,
3465,he wants,9,,,
3466,he was,45,,,
3467,he wasnt,10,between,,
3468,he went,10,,,
3469,he would,20,,,
3470,he wrote,10,,,
